"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ABCB4",1.28906330566457e-05,3.09132771288737e-07,9.55550102549637e-07,4.64888313903216e-06,4.65730858129066e-06,6.11689883016349e-07
"ABCB5",8.67188041992526e-06,2.78219494159864e-06,2.86665030764891e-06,5.97713546446991e-06,9.5363937616904e-06,7.5441752238683e-06
"ABCB6",3.35156459472787e-05,4.54425173794444e-05,2.42709726047608e-05,1.1068769378648e-06,2.21776599109079e-07,7.44222691003224e-05
"ABCB7",8.67188041992526e-06,1.14379125376833e-05,1.91110020509927e-07,1.30611478668046e-05,6.65329797327237e-07,1.44766605647203e-05
"ABCB8",4.28906518066574e-05,2.16392939902116e-06,7.45329079988717e-06,3.3206308135944e-06,2.63914152939804e-05,1.77390066074741e-05
"ABCB9",3.39843962402476e-05,1.94753645911905e-05,5.40841358043095e-05,6.86263701476175e-06,7.2964501106887e-05,1.08065212666222e-05
"ABCC1",6.53906658691662e-05,1.63840368783031e-05,5.40841358043095e-05,5.60079730559588e-05,6.63112031336146e-05,2.75260447357357e-05
"ABCC10",7.3359420849638e-05,5.6571297145839e-05,5.14085955171705e-05,6.64126162718879e-07,3.34882664654709e-05,1.16221077773106e-05
"ABCC11",8.20313012695633e-06,3.09132771288737e-07,1.91110020509927e-07,2.2137538757296e-07,6.65329797327237e-07,1.85545931181626e-05
"ABCC12",7.031254394534e-07,5.25525711190854e-06,7.45329079988717e-06,2.2137538757296e-07,3.32664898663619e-06,5.50520894714714e-06
"ABCC2",3.04687690429807e-06,3.09132771288737e-07,9.55550102549637e-07,2.2137538757296e-07,1.1088829955454e-06,3.46624267042598e-06
"ABCC3",7.66406729004206e-05,3.09132771288737e-07,1.43332515382446e-05,1.54962771301072e-06,1.53025853385265e-05,0.000108269109293894
"ABCC4",3.49218968261855e-05,4.63699156933106e-06,4.91152752710513e-05,4.20613236388624e-06,1.88510109242717e-05,9.9909347559337e-06
"ABCC5",5.83594114746322e-05,9.11941675301775e-05,8.04573186346794e-05,6.75194932097527e-05,1.9738117320708e-05,1.77390066074741e-05
"ABCC6",3.58593974121234e-05,3.40046048417611e-06,3.24887034866877e-06,2.87788003844848e-06,2.21776599109079e-07,6.3207954578356e-06
"ABCC8",7.031254394534e-07,1.08196469951058e-05,6.68885071784746e-06,8.63364011534543e-06,1.04235001581267e-05,4.01676356514069e-05
"ABCC9",2.78906424316515e-05,1.51475057931481e-05,4.29997546147337e-05,6.64126162718879e-07,2.01816705189262e-05,1.42727639370481e-06
"ABCD1",1.94531371582107e-05,9.27398313866212e-07,2.1022102256092e-06,1.1068769378648e-06,1.1088829955454e-06,5.50520894714714e-06
"ABCD2",2.57812661132913e-06,4.63699156933106e-06,9.55550102549637e-07,2.43512926330256e-06,5.54441497772698e-06,3.05844941508174e-06
