"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ABCB5",1.69079749428203e-05,1.79941295951609e-07,1.41887064573638e-05,5.92320774395442e-06,1.50454415321246e-06,1.96518169676932e-07
"ABCB6",7.13648293041117e-05,8.99706479758044e-07,3.92276002056528e-05,1.25572004171834e-05,4.49213897173434e-05,6.48509959933876e-06
"ABCB7",2.19584090166497e-07,6.65782795020952e-06,6.39882840234052e-06,2.48774725246086e-05,6.44804637091054e-07,1.51318990651238e-05
"ABCB8",1.38337976804893e-05,2.33923684737091e-06,6.95524826341361e-06,1.91911930904123e-05,4.92200872979505e-05,1.76866352709239e-06
"ABCB9",2.83263476314782e-05,3.00501964239187e-05,7.31692117311112e-05,2.36928309758177e-07,4.7070738507647e-05,1.00224266535235e-05
"ABCC1",3.53530385168061e-05,4.58850304676602e-05,7.70641507586228e-05,7.1078492927453e-07,3.37447760077652e-05,5.52216056792179e-05
"ABCC10",4.61126589349645e-06,2.69911943927413e-06,1.39104965268272e-06,0.000266544348477949,6.44804637091054e-07,3.73384522386171e-06
"ABCC11",2.85459317216447e-06,1.79941295951609e-07,9.73734756877906e-06,1.54003401342815e-05,1.50454415321246e-06,1.96518169676932e-07
"ABCC12",6.80710679516142e-06,8.99706479758044e-07,8.62450784663288e-06,2.36928309758177e-07,1.93441391127316e-06,3.34080888450784e-06
"ABCC2",6.58752270499492e-07,1.61947166356448e-06,2.5038893748289e-06,1.65849816830724e-06,1.93441391127316e-06,5.89554509030796e-07
"ABCC3",7.66348474681076e-05,3.00501964239187e-05,8.06808798555979e-06,1.91911930904123e-05,5.05096965721326e-05,1.96518169676932e-07
"ABCC4",3.18396930741421e-05,2.50118401372736e-05,2.5038893748289e-06,2.77206122417067e-05,3.07356877013402e-05,9.8259084838466e-07
"ABCC5",4.5453906664465e-05,3.05900203117735e-06,4.64610583996029e-05,8.22141234860873e-05,0.000129605732055302,4.42165881773097e-05
"ABCC6",2.87655158118112e-05,1.9793542554677e-06,3.06030923590199e-06,2.13235478782359e-06,6.44804637091054e-07,3.73384522386171e-06
"ABCC8",3.05221885331431e-05,3.05900203117735e-06,3.25505618727757e-05,2.13235478782359e-06,2.79415342739457e-06,1.12015356715851e-05
"ABCC9",1.25162931394904e-05,1.38554797882739e-05,4.75738981217491e-05,1.30310570366997e-05,6.23311149188019e-06,7.27117227804648e-06
"ABCD1",6.58752270499492e-07,1.9793542554677e-06,7.5116681244867e-06,1.30310570366997e-05,1.93441391127316e-06,1.37562718773852e-06
"ABCD2",2.85459317216447e-06,1.79941295951609e-07,2.78209930536545e-07,1.35049136562161e-05,2.14934879030351e-07,1.96518169676932e-07
"ABCD3",5.99464566154538e-05,9.44691803745946e-05,2.78209930536545e-07,0.00015329261641354,2.14934879030351e-07,7.91968223798036e-05
"ABCD4",5.92877043449543e-06,8.81712350162883e-06,2.78209930536545e-07,1.01879173196016e-05,6.23311149188019e-06,1.96518169676932e-07
"ABCE1",1.53708863116548e-06,0.000135495795851561,0.000103215884229058,1.58741967537978e-05,1.50454415321246e-06,9.13809488997734e-05
"ABCF1",2.92046839921442e-05,2.93304312401122e-05,1.75272256238023e-05,7.1078492927453e-07,5.80324173381949e-06,1.67040444225392e-05
"ABCF2",1.33946295001563e-05,2.33923684737091e-06,2.75427831231179e-05,1.58741967537978e-05,1.26811578627907e-05,4.12688156321557e-06
"ABCF3",1.33946295001563e-05,2.69911943927413e-06,5.84240854126744e-06,7.81863422201983e-06,5.82473522172252e-05,3.73384522386171e-06
"ABCG1",0.000121430001862073,8.87110589041431e-05,5.9258715204284e-05,4.99918733589753e-05,4.62109989915255e-05,6.77987685385415e-05
"ABCG2",2.04213203854843e-05,8.99706479758044e-07,1.94746951375581e-06,2.15604761879941e-05,6.44804637091054e-07,2.65299529063858e-05
"ABCG4",6.80710679516142e-06,1.61947166356448e-06,1.02937674298521e-05,7.1078492927453e-07,1.61201159272764e-05,3.73384522386171e-06
"ABCG5",6.58752270499492e-07,1.25958907166126e-06,1.94746951375581e-06,2.60621140733994e-06,1.93441391127316e-06,1.96518169676932e-07
"ABCG8",3.29376135249746e-06,2.69911943927413e-06,8.34629791609634e-07,2.36928309758177e-07,6.44804637091054e-07,9.8259084838466e-07
"ABHD1",2.19584090166497e-07,2.33923684737091e-06,1.02937674298521e-05,2.60621140733994e-06,2.14934879030351e-07,1.76866352709239e-06
"ABHD10",2.19584090166497e-07,3.05900203117735e-06,2.42042639566794e-05,4.288402406623e-05,1.93441391127316e-06,9.80625666687891e-05
"ABHD11",1.82254794838193e-05,6.29794535830631e-06,8.65232883968653e-05,1.18464154879088e-06,7.07135752009856e-05,5.30599058127716e-06
