"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ABCB5",1.36791153129879e-06,1.56373730714428e-07,2.42771125579191e-07,2.18860784992015e-05,1.92016187626742e-05,1.60477924656684e-06
"ABCB6",7.71892935518605e-05,4.69121192143283e-07,5.09819363716302e-06,7.62825454486731e-05,5.07629001771846e-06,1.19466899466643e-05
"ABCB7",3.69336113450674e-05,9.5387975735801e-06,2.42771125579191e-07,1.50865201305175e-05,2.20708261639933e-07,5.34926415522281e-07
"ABCB8",5.27623019215249e-06,1.40736357642985e-06,2.84042216927654e-05,6.18334839152197e-05,2.86920740131913e-06,4.45772012935234e-06
"ABCB9",0.000101420869249153,1.20407772650109e-05,7.16174820458614e-05,6.37458597064121e-07,9.49045525051712e-06,8.91544025870468e-07
"ABCC1",1.38745312460306e-05,7.92814814722149e-05,1.38379541580139e-05,5.50339255465358e-05,6.95231024165789e-05,5.17095535004871e-06
"ABCC10",7.6212213886647e-06,1.56373730714428e-07,3.1803017450874e-05,0.000375038141272724,2.20708261639933e-07,5.34926415522281e-07
"ABCC11",9.77079665213423e-07,1.09461611500099e-06,1.69939787905434e-06,1.72113821207313e-05,2.20708261639933e-07,5.88419057074509e-06
"ABCC12",6.4487257904086e-06,4.22209072928955e-06,1.21385562789596e-06,2.76232058727786e-06,1.54495783147953e-06,3.03124968795959e-06
"ABCC2",1.95415933042685e-07,1.56373730714428e-07,2.18494013021272e-06,7.01204456770533e-06,2.20708261639933e-07,5.34926415522281e-07
"ABCC3",0.000118226639490824,8.91330265072238e-06,1.38379541580139e-05,4.22847536052533e-05,1.16975378669165e-05,8.3805138431824e-06
"ABCC4",4.74860717293724e-05,4.84758565214726e-06,3.22885597020324e-05,2.12486199021374e-07,5.62806067181829e-05,5.34926415522281e-07
"ABCC5",6.05789392432323e-06,9.42933596208e-05,0.000128911467682551,2.35859680913725e-05,6.62124784919799e-07,5.26010975263576e-05
"ABCC6",2.5404071295549e-06,5.78582803643383e-06,2.1606630176548e-05,8.71193415987632e-06,5.51770654099833e-06,3.38786729830778e-06
"ABCC8",1.93461773712258e-05,2.65835342214527e-06,4.61265138600463e-06,2.12486199021374e-07,4.39209440663467e-05,3.03124968795959e-06
"ABCC9",1.50470268442867e-05,7.81868653572139e-07,2.45198836834983e-05,6.37458597064121e-07,4.34795275430668e-05,3.01341880744218e-05
"ABCD1",1.54378587103721e-05,4.22209072928955e-06,2.42771125579191e-07,2.12486199021374e-07,2.20708261639933e-07,5.17095535004871e-06
"ABCD2",3.32207086172564e-06,2.97110088357413e-06,7.28313376737574e-07,4.88718257749159e-06,3.310623924599e-06,1.78308805174094e-07
"ABCD3",6.4487257904086e-06,0.000118062166689393,0.000155616291496262,2.52858576835435e-05,4.08310284033876e-05,3.47702170089482e-05
"ABCD4",2.14957526346953e-06,7.34956534357811e-06,1.72367499161226e-05,3.61226538336335e-06,6.62124784919799e-07,4.10110251900415e-06
"ABCE1",9.77079665213423e-07,0.000134325034683693,9.24957988456719e-05,1.21117133442183e-05,4.96593588689849e-05,2.62113943605918e-05
"ABCF1",1.95415933042685e-07,4.53483819071841e-06,7.28313376737574e-07,9.11565793801693e-05,7.72478915739766e-06,3.19172761261628e-05
"ABCF2",1.34836993799452e-05,9.5387975735801e-06,1.04391583999052e-05,3.03855264600564e-05,4.19345697115873e-06,4.10110251900415e-06
