"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ABCB4",2.53707487206427e-06,7.57933817996381e-06,2.25880175987763e-07,5.62598071072844e-06,1.86503267198144e-06,3.43426720979984e-06
"ABCB5",1.04467788849705e-06,3.05116947244697e-05,2.03292158388986e-06,5.11452791884403e-07,2.54322637088379e-06,1.14475573659995e-06
"ABCB6",1.7162565311023e-05,8.49274560165175e-05,1.58116123191434e-06,2.06285959393376e-05,4.57780746759082e-06,4.96823989684377e-05
"ABCB7",4.02947185563149e-06,1.41869663368553e-05,5.64700439969407e-06,1.82418162438771e-05,3.89961376868848e-06,9.84489933475955e-06
"ABCB8",7.01426582276592e-06,5.03345791951442e-05,6.77640527963288e-07,3.92113807111376e-06,1.13597444566143e-05,1.90029452275591e-05
"ABCB9",4.62643064905837e-06,5.34440512689756e-05,1.3326930383278e-05,4.27915502543284e-05,5.08645274176758e-07,6.20457609237171e-05
"ABCC1",4.47719095070165e-07,1.1077494263024e-05,2.25880175987763e-07,0.000127351745179216,3.78092987138056e-05,0.000107835990387715
"ABCC10",3.13403366549116e-06,4.08118209690359e-06,1.12940087993881e-06,9.15500497473082e-05,1.50898098005771e-05,0.000153168317557073
"ABCC11",1.49239698356722e-07,3.69249808767467e-06,2.25880175987763e-07,1.03995401016495e-05,1.69548424725586e-07,1.25923131025994e-05
"ABCC12",3.73099245891804e-06,5.8302601384337e-07,1.24234096793269e-05,5.96694923865137e-06,1.69548424725586e-07,2.28951147319989e-07
"ABCC2",1.64163668192394e-06,1.94342004614457e-07,2.93644228784092e-06,8.52421319807339e-07,2.54322637088379e-06,6.86853441959968e-07
"ABCC3",5.82034823591215e-06,9.85313963395295e-05,8.15427435315823e-05,3.23920101526789e-06,5.08645274176758e-07,3.27400140667585e-05
"ABCC4",4.47719095070165e-07,5.24723412459033e-06,1.58116123191434e-06,4.94404365488257e-06,3.27228459720381e-05,9.73042376109955e-05
"ABCC5",2.19382356584381e-05,9.71710023072283e-07,3.45596669261277e-05,0.000146445982742901,0.000103594087507333,8.01329015619963e-06
"ABCC6",1.94011607863738e-06,9.71710023072283e-07,1.69410131990822e-05,1.53435837565321e-06,6.61238856429785e-06,2.35819681739589e-05
"ABCC8",1.64163668192394e-06,1.88511744476023e-05,4.26913532616872e-05,1.19338984773027e-06,3.89961376868848e-06,2.0834554406119e-05
"ABCC9",3.4325130622046e-06,4.85855011536141e-06,2.86867823504459e-05,3.69950852796385e-05,1.33943255533213e-05,8.01329015619963e-06
"ABCD1",1.3431572852105e-06,1.74907804153011e-06,3.83996299179197e-06,8.01276040618899e-06,5.08645274176758e-07,9.38699704011957e-06
"ABCD2",7.01426582276592e-06,9.71710023072283e-07,1.01646079194493e-05,1.87532690357615e-06,5.08645274176758e-07,2.28951147319989e-07
"ABCD3",6.31283924048933e-05,5.65535233428069e-05,2.48468193586539e-06,6.18857878180128e-05,9.03693103787373e-05,3.13663071828386e-05
"ABCD4",7.61122461619281e-06,5.63591813381924e-06,7.45404580759617e-06,1.53435837565321e-06,5.08645274176758e-07,1.25923131025994e-05
"ABCE1",0.000163118990303897,7.8319827859626e-05,4.74348369574302e-06,2.09695644672605e-05,1.00033570588096e-05,4.00664507809982e-05
"ABCF1",1.04467788849705e-06,2.13776205075902e-06,1.15198889753759e-05,6.64888629449725e-06,6.0189690777583e-05,2.90767957096387e-05
"ABCF2",1.49239698356722e-07,3.30381407844576e-06,9.26108721549827e-06,3.63131482237926e-05,1.69548424725586e-07,1.12186062186795e-05
"ABCF3",3.4325130622046e-06,2.77909066598673e-05,6.77640527963288e-07,2.64250609140275e-05,2.20412952143262e-06,1.80871406382792e-05
"ABCG1",9.40210099647347e-06,8.99803481364934e-05,1.10681286234004e-05,0.000134853052793521,7.81618237984951e-05,6.38773701022771e-05
"ABCG2",2.22367150551515e-05,3.12890627429275e-05,2.25880175987763e-07,7.33082335034312e-06,1.69548424725586e-07,6.86853441959968e-07
"ABCG4",1.49239698356722e-07,3.20664307613853e-05,2.25880175987763e-07,5.11452791884403e-07,8.47742123627929e-07,1.07607039240395e-05
"ABCG5",1.49239698356722e-07,2.91513006921685e-06,2.48468193586539e-06,2.21629543149908e-06,1.69548424725586e-07,2.28951147319989e-07
"ABCG8",2.53707487206427e-06,2.91513006921685e-06,2.48468193586539e-06,1.70484263961468e-07,1.69548424725586e-07,6.86853441959968e-07
"ABHD1",7.46198491783608e-07,1.74907804153011e-06,2.25880175987763e-07,9.71760304580367e-06,1.52593582253027e-06,2.97636491515986e-06
"ABHD10",2.58184678157129e-05,1.94342004614457e-07,9.7128475674738e-06,2.94937776653339e-05,4.96776884445967e-05,4.92244966737977e-05
"ABHD11",6.11882763262559e-06,4.02287949551925e-05,1.37786907352535e-05,1.89237532997229e-05,1.03424539082607e-05,9.13515077806758e-05
"ABHD12",4.02947185563149e-06,5.5776155324349e-05,5.17265603011977e-05,6.64888629449725e-06,2.96709743269775e-05,2.77030888257187e-05
"ABHD12B",1.49239698356722e-07,1.94342004614457e-07,6.77640527963288e-07,8.52421319807339e-07,2.54322637088379e-06,1.57976291650793e-05
"ABHD13",3.73099245891804e-06,5.63591813381924e-06,2.48468193586539e-06,5.11452791884403e-07,1.23770350049678e-05,1.14475573659995e-06
"ABHD14A",2.83555426877771e-06,3.63419548629034e-05,6.77640527963288e-07,7.67179187826605e-06,1.69548424725586e-07,2.49556750578788e-05
"ABHD14B",1.3431572852105e-06,2.13776205075902e-06,6.77640527963288e-07,2.21629543149908e-06,1.52593582253027e-06,1.14475573659995e-06
"ABHD15",4.47719095070165e-07,6.02460214304815e-06,5.64700439969407e-06,1.70484263961468e-07,8.47742123627929e-07,2.28951147319989e-07
"ABHD16A",1.3431572852105e-06,4.45043190567105e-05,9.26108721549827e-06,2.50611868023358e-05,2.59409089830146e-05,3.77769393077983e-05
"ABHD17A",1.64163668192394e-06,9.52275822610837e-06,3.83996299179197e-06,3.92113807111376e-06,8.47742123627929e-07,2.06056032587991e-06
"ABHD17B",3.92500406678178e-05,4.08118209690359e-06,1.37786907352535e-05,8.77993959401559e-05,1.61071003489307e-05,0.000100509553673475
"ABHD17C",1.49239698356722e-07,7.19065417073489e-06,6.77640527963288e-07,1.17634142133413e-05,1.44116161016748e-05,8.47119245083961e-06
"ABHD18",6.01435984377588e-05,8.60935080442043e-05,3.38820263981644e-06,5.2850121828055e-06,7.30753710567275e-05,3.73190370131583e-05
"ABHD2",0.000346683819282664,1.37982823276264e-05,0.000112262447465918,0.000134853052793521,0.000381992600906745,0.000419667453037541
"ABHD3",2.53707487206427e-06,4.08118209690359e-06,1.06163682714248e-05,1.53435837565321e-06,8.47742123627929e-07,1.16765085133195e-05
"ABHD4",7.01426582276592e-06,9.13407421687946e-06,2.25880175987763e-07,1.87532690357615e-06,3.5605169192373e-06,8.47119245083961e-06
"ABHD5",4.96968195527883e-05,7.19065417073489e-06,2.1910377070813e-05,4.60307512695963e-06,3.5605169192373e-06,6.84563930486768e-05
"ABHD6",8.28280325879805e-05,4.06174789644214e-05,1.58116123191434e-06,0.000189748985789114,2.89927806280752e-05,1.14475573659995e-06
"ABHD8",1.04467788849705e-06,1.53530183645421e-05,3.83996299179197e-06,8.01276040618899e-06,1.69548424725586e-07,6.86853441959968e-07
"ABI1",0.000114168369242892,0.000246231319846516,4.04325515018095e-05,0.000197591261931341,0.00015784958341952,5.01403012630777e-05
"ABI2",0.00108601728494186,0.000299092345101649,0.000592935461967877,0.000373531022339576,0.000487112624236608,6.06720540397972e-05
"ABI3",1.94011607863738e-06,4.10061629736503e-05,2.77832616464948e-05,1.10814771574954e-05,3.89961376868848e-06,1.60265803123993e-06
"ABI3BP",1.02975391866138e-05,1.94342004614457e-07,8.35756651154722e-06,1.70484263961468e-07,1.69548424725586e-07,1.16765085133195e-05
"ABITRAM",2.40275914354322e-05,7.96802218919272e-06,1.12940087993881e-06,8.52421319807339e-07,8.30787281155371e-06,3.77769393077983e-05
"ABL1",8.50666280633314e-06,7.19065417073489e-06,4.74348369574302e-06,2.3697312690644e-05,7.62967911265136e-06,5.70088356826774e-05
"ABL2",1.62671271208827e-05,4.08118209690359e-06,2.23621374227885e-05,0.00020679741218526,4.52694294017314e-05,0.000118367743164435
"ABLIM1",0.000114765328036319,7.01574636658188e-05,0.0001827370623741,1.14224456854183e-05,0.000174465329042628,5.72377868299974e-06
"ABLIM2",4.52196286020867e-05,0.000103584288459505,2.55244598866172e-05,9.15500497473082e-05,4.18784609072197e-05,0.000252991017788588
"ABLIM3",5.29800929166362e-05,3.40098508075299e-05,2.14586167188375e-05,1.58550365484165e-05,1.98371656928935e-05,2.99926002989186e-05
"ABO",8.40219501748343e-05,0.000589439299995647,0.000374283451611723,1.70484263961468e-07,1.69548424725586e-07,0.000741114863874806
"ABR",4.82044225692211e-05,0.000107471128551794,9.05779505710929e-05,4.99518893407101e-05,0.000122583511076599,2.35819681739589e-05
"ABRACL",1.32823331537482e-05,4.4698661061325e-06,6.77640527963288e-07,8.69469746203486e-06,1.52593582253027e-06,8.92909474547959e-06
"ABRAXAS1",1.80580035011633e-05,6.00516794258671e-05,1.69410131990822e-05,3.39263685283321e-05,2.96709743269775e-05,2.54135773525188e-05
"ABRAXAS2",2.85047823861338e-05,2.91513006921685e-06,6.09876475166959e-06,2.64250609140275e-05,8.47742123627929e-07,5.26587638835976e-06
"ABT1",3.4325130622046e-06,5.8302601384337e-07,4.29172334376749e-06,3.23920101526789e-06,8.47742123627929e-07,9.84489933475955e-06
"ABTB1",1.04467788849705e-06,4.64477391028551e-05,9.7128475674738e-06,0.000129397556346754,1.00033570588096e-05,3.22821117721185e-05
"ABTB2",1.3431572852105e-06,2.97343267060119e-05,2.59762202385927e-05,1.79008477159541e-05,4.23871061813965e-06,4.3729669138118e-05
"ABTB3",1.32823331537482e-05,2.91513006921685e-06,2.93644228784092e-06,6.98985482242018e-06,4.23871061813965e-06,2.28951147319989e-07
